temp_max,chuva,fds
27.6,0.0,0
30.3,0.0,0
35.7,0.0,0
26.3,3.0,1
26.2,0.0,1
29.1,27.2,0
24.8,0.0,0
31.1,0.0,1
25.0,0.0,0
26.1,3.6,0
21.8,0.0,1
32.7,2.0,0
27.2,0.0,0
27.4,0.0,0
26.1,31.0,0
18.0,2.2,0
32.5,0.0,0
32.7,0.0,0
24.4,0.1,0
16.1,0.0,1
25.9,0.0,1
27.0,6.8,0
28.5,0.0,0
28.6,1.2,1
20.5,0.0,0
24.1,0.0,0
34.0,1.6,0
24.1,0.0,0
26.9,0.0,0
28.0,0.0,1
27.3,13.4,0
26.2,0.0,1
29.3,2.0,0
25.7,0.0,0
28.7,20.8,0
14.5,4.4,1
27.9,0.0,0
27.4,0.0,1
28.0,0.1,1
29.3,0.0,1
27.6,0.0,0
25.1,0.0,0
28.4,0.0,0
32.4,43.0,0
20.2,0.4,0
28.3,0.0,0
30.3,0.0,0
28.4,0.0,1
18.4,5.6,1
32.7,0.0,0
29.8,94.8,1
27.1,0.0,0
32.6,0.0,0
22.4,0.0,1
19.3,0.0,0
35.5,0.0,1
32.0,0.0,1
22.8,1.7,1
30.5,0.0,0
23.7,0.8,1
17.5,0.5,0
22.9,2.0,1
19.2,0.0,0
19.9,0.0,1
23.8,0.0,0
30.7,0.0,0
28.5,0.0,0
23.8,0.0,1
30.3,34.4,0
30.8,0.0,0
24.9,14.6,0
26.0,17.4,1
31.2,0.0,0
28.2,13.6,1
33.7,0.0,0
35.6,0.0,1
24.6,0.0,0
22.8,0.0,0
18.5,2.4,1
28.0,85.3,0
26.4,0.0,1
24.8,0.0,0
29.5,4.4,0
27.7,0.0,0
20.0,1.2,1
27.8,0.0,1
25.4,0.0,0
35.8,0.0,1
19.8,2.6,0
24.9,0.0,0
19.8,0.0,1
27.7,0.0,0
27.9,12.2,1
27.4,6.8,0
22.5,0.2,0
21.6,2.4,0
26.2,0.0,1
21.4,0.0,0
22.3,1.0,0
31.0,39.0,0
24.4,0.0,0
26.1,0.0,1
26.0,0.0,0
17.4,1.0,0
29.2,0.0,0
27.4,3.0,1
16.1,0.0,0
30.0,0.0,1
20.0,7.1,0
29.8,0.0,1
29.0,1.0,0
31.6,0.0,0
25.5,0.0,0
21.9,7.2,0
25.9,18.6,0
15.6,27.6,1
23.6,27.2,0
30.4,0.0,0
26.3,0.0,1
30.1,0.0,0
19.6,0.0,0
32.8,4.0,0
30.6,0.1,1
20.2,0.0,0
21.0,0.0,0
18.0,3.8,0
28.0,0.0,0
27.1,3.2,0
24.7,0.0,0
29.1,0.0,0
24.4,69.2,1
19.9,1.6,0
32.8,0.0,0
24.9,28.6,1
24.9,0.0,0
28.4,0.1,0
28.1,0.0,0
31.4,0.0,0
27.2,0.0,0
26.2,0.0,0
27.2,0.0,1
22.4,27.2,1
24.3,0.4,0
19.2,0.1,1
30.7,0.0,0
24.4,0.0,1
28.2,7.4,0
31.9,0.0,0
27.2,0.0,0
26.6,0.0,1
27.7,0.0,0
21.7,0.0,0
30.8,0.0,1
31.0,12.2,1
28.7,0.0,0
26.2,0.0,0
22.4,6.3,0
18.4,17.8,0
31.8,0.0,0
35.6,0.6,0
30.5,14.1,0
31.6,0.0,1
25.4,0.0,0
25.6,0.0,0
24.3,0.2,1
35.8,0.0,0
26.4,0.0,0
27.0,37.2,0
22.7,0.0,0
32.5,2.0,0
25.1,0.0,0
25.8,0.0,0
19.2,23.6,0
22.3,0.0,1
24.2,0.0,0
29.4,0.0,1
34.8,0.8,0
21.8,31.8,0
28.8,0.0,0
28.8,0.0,1
25.5,0.0,0
23.9,0.0,0
27.8,0.0,1
26.7,25.4,0
27.2,39.6,0
23.7,3.2,0
28.0,0.0,0
26.9,0.0,0
31.3,1.3,1
20.6,22.2,0
22.9,0.0,1
23.2,1.8,0
21.0,15.2,1
25.3,14.7,1
26.9,0.0,0
26.7,0.0,1
25.0,25.0,1
24.6,0.0,1
26.1,0.0,1
20.9,0.0,0
32.4,3.0,0
23.3,0.0,1
24.1,10.3,0
27.1,0.0,0
23.4,0.0,0
25.6,0.0,0
27.3,0.0,1
32.8,3.0,0
31.8,10.4,0
35.4,0.0,0
34.0,0.0,0
31.1,1.6,0
34.8,3.4,1
32.2,0.0,0
26.4,13.4,0
22.9,0.0,0
35.3,0.0,0
25.8,0.0,0
26.4,0.0,1
29.3,0.0,1
26.6,0.0,0
26.6,0.0,0
24.3,0.0,0
21.7,0.0,0
31.5,3.4,0
26.4,7.6,0
28.5,28.4,0
21.5,0.0,0
26.7,0.0,0
29.7,8.0,1
25.7,0.0,1
18.7,0.0,0
29.9,4.9,0
23.3,19.2,0
27.5,0.0,0
34.0,0.0,0
23.9,47.8,0
20.4,0.0,1
25.1,0.0,0
27.6,2.4,0
30.6,1.8,1
27.7,0.0,1
28.9,0.0,0
25.8,0.0,0
20.8,9.9,0
29.2,20.2,0
26.6,38.2,1
24.0,0.6,0
22.1,25.0,0
29.2,0.0,0
26.8,0.3,1
26.9,9.7,0
27.4,0.0,0
28.0,0.0,0
29.8,0.0,0
